"\Microsoft\Windows\Media Center\ConfigureInternetTimeService","N/A","Ready"
"\Microsoft\Windows\Media Center\DispatchRecoveryTasks","N/A","Ready"
"\Microsoft\Windows\Media Center\ehDRMInit","N/A","Ready"
"\Microsoft\Windows\Media Center\InstallPlayReady","N/A","Ready"
"\Microsoft\Windows\Media Center\mcupdate","N/A","Ready"
"\Microsoft\Windows\Media Center\MediaCenterRecoveryTask","N/A","Ready"
"\Microsoft\Windows\Media Center\ObjectStoreRecoveryTask","N/A","Ready"
"\Microsoft\Windows\Media Center\OCURActivate","N/A","Ready"
"\Microsoft\Windows\Media Center\OCURDiscovery","N/A","Ready"
"\Microsoft\Windows\Media Center\PBDADiscovery","N/A","Ready"
"\Microsoft\Windows\Media Center\PBDADiscoveryW1","N/A","Ready"
"\Microsoft\Windows\Media Center\PBDADiscoveryW2","N/A","Ready"
"\Microsoft\Windows\Media Center\PeriodicScanRetry","Disabled",""
"\Microsoft\Windows\Media Center\PvrRecoveryTask","N/A","Ready"
"\Microsoft\Windows\Media Center\PvrScheduleTask","N/A","Ready"
"\Microsoft\Windows\Media Center\RecordingRestart","Disabled",""
"\Microsoft\Windows\Media Center\RegisterSearch","N/A","Ready"
"\Microsoft\Windows\Media Center\ReindexSearchRoot","N/A","Ready"
"\Microsoft\Windows\Media Center\SqlLiteRecoveryTask","N/A","Ready"
"\Microsoft\Windows\Media Center\UpdateRecordPath","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\MemoryDiagnostic\CorruptionDetector","N/A","Ready"
"\Microsoft\Windows\MemoryDiagnostic\DecompressionFailureDetector","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\MobilePC\HotStart","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\MUI\LPRemove","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Multimedia\SystemSoundsService","N/A","Running"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\NetTrace\GatherNetworkInfo","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Offline Files\Background Synchronization","Disabled",""
"\Microsoft\Windows\Offline Files\Logon Synchronization","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\PerfTrack\BackgroundConfigSurveyor","Disabled",""
"\Microsoft\Windows\PerfTrack\BackgroundConfigSurveyor","Disabled",""
"TaskName","Next Run Time","Status"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem","11/25/2014 6:26:30 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\RAC\RacTask","11/20/2014 8:08:34 PM","Ready"
"\Microsoft\Windows\RAC\RacTask","11/20/2014 8:04:06 PM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Ras\MobilityManager","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Registry\RegIdleBackup","11/25/2014 12:58:39 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask","N/A","Ready"
"\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Shell\WindowsParentalControls","Disabled",""
"\Microsoft\Windows\Shell\WindowsParentalControlsMigration","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\SideShow\AutoWake","Disabled",""
"\Microsoft\Windows\SideShow\GadgetManager","N/A","Ready"
"\Microsoft\Windows\SideShow\SessionAgent","Disabled","Could not start"
"\Microsoft\Windows\SideShow\SystemDataProviders","Disabled","Could not start"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\SystemRestore\SR","11/21/2014 12:00:00 AM","Ready"
"\Microsoft\Windows\SystemRestore\SR","11/21/2014 12:00:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Task Manager\Interactive","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Tcpip\IpAddressConflict1","N/A","Ready"
"\Microsoft\Windows\Tcpip\IpAddressConflict2","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\TextServicesFramework\MsCtfMonitor","N/A","Running"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Time Synchronization\SynchronizeTime","11/23/2014 1:00:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\UPnP\UPnPHostConfig","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\User Profile Service\HiveUploadTask","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\WDI\ResolutionHost","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Windows Error Reporting\QueueReporting","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\Windows Media Sharing\UpdateLibrary","N/A","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\WindowsBackup\ConfigNotification","11/21/2014 10:00:00 AM","Ready"
"TaskName","Next Run Time","Status"
"\Microsoft\Windows\WindowsColorSystem\Calibration Loader","Disabled",""
"\Microsoft\Windows\WindowsColorSystem\Calibration Loader","Disabled",""
"TaskName","Next Run Time","Status"
"\Microsoft\Windows Defender\MP Scheduled Scan","11/21/2014 2:30:15 AM","Ready"
"TaskName","Next Run Time","Status"
"\OfficeSoftwareProtectionPlatform\SvcRestartTask","Disabled",""
